uf;ibge;municipio;2021;2020;nome_teste;2019;teste
PA;1504422;Marituba;135812;133685;Marituba;131521;certo
PB;2509156;Marizópolis;6689;6654;Marizópolis;6617;certo
MG;3140308;Marliéria;4030;4034;Marliéria;4039;certo
PR;4115408;Marmeleiro;14407;14387;Marmeleiro;14367;certo
MG;3140407;Marmelópolis;2701;2728;Marmelópolis;2755;certo
RS;4312054;Marques de Souza;3981;3995;Marques de Souza;4009;certo
PR;4115457;Marquinho;4283;4340;Marquinho;4405;certo
MG;3140506;Martinho Campos;13497;13443;Martinho Campos;13388;certo
CE;2307908;Martinópole;11407;11321;Martinópole;11233;certo
SP;3529203;Martinópolis;26791;26628;Martinópolis;26461;certo
RN;2407401;Martins;8790;8758;Martins;8725;certo
MG;3140530;Martins Soares;8640;8531;Martins Soares;8417;certo
SE;2804003;Maruim;17328;17271;Maruim;17213;certo
PR;4115507;Marumbi;4676;4677;Marumbi;4679;certo
GO;5212907;Marzagão;2263;2250;Marzagão;2236;certo
BA;2920908;Mascote;13619;13717;Mascote;13822;certo
CE;2308005;Massapê;39341;39044;Massapê;38737;certo
PI;2206050;Massapê do Piauí;6456;6449;Massapê do Piauí;6441;certo
PB;2509206;Massaranduba;14077;13998;Massaranduba;13918;certo
SC;4210605;Massaranduba;17330;17125;Massaranduba;16916;certo
RS;4312104;Mata;4760;4797;Mata;4823;certo
BA;2921005;Mata de São João;47643;47126;Mata de São João;46583;certo
AL;2705002;Mata Grande;25200;25207;Mata Grande;25216;certo
MA;2106409;Mata Roma;17122;16977;Mata Roma;16829;certo
MG;3140555;Mata Verde;8700;8644;Mata Verde;8586;certo
SP;3529302;Matão;84069;83626;Matão;83170;certo
PB;2509305;Mataraca;8642;8539;Mataraca;8434;certo
TO;1712702;Mateiros;2773;2729;Mateiros;2684;certo
PR;4115606;Matelândia;18266;18107;Matelândia;17943;certo
MG;3140605;Materlândia;4415;4436;Materlândia;4459;certo
MG;3140704;Mateus Leme;31631;31364;Mateus Leme;31086;certo
MG;3171501;Mathias Lobato;3157;3179;Mathias Lobato;3203;certo
MG;3140803;Matias Barbosa;14626;14548;Matias Barbosa;14468;certo
MG;3140852;Matias Cardoso;11360;11260;Matias Cardoso;11157;certo
PI;2206100;Matias Olímpio;10979;10958;Matias Olímpio;10936;certo
BA;2921054;Matina;12359;12283;Matina;12201;certo
MA;2106508;Matinha;23591;23482;Matinha;23370;certo
PB;2509339;Matinhas;4528;4515;Matinhas;4500;certo
PR;4115705;Matinhos;35705;35219;Matinhos;34720;certo
MG;3140902;Matipó;19098;19005;Matipó;18908;certo
RS;4312138;Mato Castelhano;2543;2542;Mato Castelhano;2540;certo
PB;2509370;Mato Grosso;2944;2926;Mato Grosso;2908;certo
RS;4312153;Mato Leitão;4627;4573;Mato Leitão;4515;certo
RS;4312179;Mato Queimado;1611;1629;Mato Queimado;1648;certo
PR;4115739;Mato Rico;3142;3206;Mato Rico;3272;certo
MG;3141009;Mato Verde;12367;12412;Mato Verde;12459;certo
MA;2106607;Matões;34099;33943;Matões;33782;certo
MA;2106631;Matões do Norte;17316;17033;Matões do Norte;16745;certo
SC;4210704;Matos Costa;2442;2480;Matos Costa;2520;certo
MG;3141108;Matozinhos;38469;38151;Matozinhos;37820;certo
GO;5212956;Matrinchã;4321;4336;Matrinchã;4351;certo
AL;2705101;Matriz de Camaragibe;24627;24634;Matriz de Camaragibe;24642;certo
MT;5105606;Matupá;17017;16793;Matupá;16566;certo
PB;2509396;Maturéia;6690;6630;Maturéia;6569;certo
MG;3141207;Matutina;3733;3741;Matutina;3749;certo
SP;3529401;Mauá;481725;477552;Mauá;472912;certo
PR;4115754;Mauá da Serra;10994;10800;Mauá da Serra;10601;certo
AM;1302900;Maués;66159;65040;Maués;63905;certo
GO;5213004;Maurilândia;14568;14327;Maurilândia;14080;certo
TO;1712801;Maurilândia do Tocantins;3470;3448;Maurilândia do Tocantins;3426;certo
CE;2308104;Mauriti;48370;48168;Mauriti;47962;certo
RN;2407500;Maxaranguape;12714;12544;Maxaranguape;12371;certo
RS;4312203;Maximiliano de Almeida;4254;4314;Maximiliano de Almeida;4377;certo
AP;1600402;Mazagão;22468;22053;Mazagão;21632;certo
MG;3141306;Medeiros;3861;3832;Medeiros;3802;certo
BA;2921104;Medeiros Neto;22741;22716;Medeiros Neto;22688;certo
PR;4115804;Medianeira;46940;46574;Medianeira;46198;certo
PA;1504455;Medicilândia;32347;31975;Medicilândia;31597;certo
MG;3141405;Medina;20701;20759;Medina;20820;certo
SC;4210803;Meleiro;6989;7001;Meleiro;7015;certo
PA;1504505;Melgaço;28121;27890;Melgaço;27654;certo
RJ;3302809;Mendes;18681;18648;Mendes;18614;certo
MG;3141504;Mendes Pimentel;6446;6446;Mendes Pimentel;6446;certo
SP;3529500;Mendonça;5638;5565;Mendonça;5490;certo
PR;4115853;Mercedes;5617;5577;Mercedes;5536;certo
MG;3141603;Mercês;10775;10758;Mercês;10739;certo
SP;3529609;Meridiano;3813;3824;Meridiano;3836;certo
CE;2308203;Meruoca;15309;15185;Meruoca;15057;certo
SP;3529658;Mesópolis;1903;1905;Mesópolis;1908;certo
MG;3141702;Mesquita;5489;5546;Mesquita;5605;certo
RJ;3302858;Mesquita;177016;176569;Mesquita;176103;certo
AL;2705200;Messias;18201;18031;Messias;17856;certo
RN;2407609;Messias Targino;4665;4634;Messias Targino;4601;certo
PI;2206209;Miguel Alves;33901;33833;Miguel Alves;33760;certo
BA;2921203;Miguel Calmon;25771;25894;Miguel Calmon;26023;certo
PI;2206308;Miguel Leão;1239;1242;Miguel Leão;1246;certo
RJ;3302908;Miguel Pereira;25622;25581;Miguel Pereira;25538;certo
SP;3529708;Miguelópolis;22480;22355;Miguelópolis;22226;certo
CE;2308302;Milagres;27413;27462;Milagres;27512;certo
BA;2921302;Milagres;10838;10893;Milagres;10950;certo
MA;2106672;Milagres do Maranhão;8502;8483;Milagres do Maranhão;8464;certo
CE;2308351;Milhã;13129;13142;Milhã;13155;certo
PI;2206357;Milton Brandão;6603;6608;Milton Brandão;6613;certo
GO;5213053;Mimoso de Goiás;2575;2583;Mimoso de Goiás;2597;certo
ES;3203403;Mimoso do Sul;26079;26115;Mimoso do Sul;26153;certo
GO;5213087;Minaçu;28518;28793;Minaçu;29070;certo
AL;2705309;Minador do Negrão;5315;5322;Minador do Negrão;5329;certo
RS;4312252;Minas do Leão;8130;8103;Minas do Leão;8075;certo
MG;3141801;Minas Novas;31509;31497;Minas Novas;31484;certo
MG;3141900;Minduri;3891;3893;Minduri;3894;certo
GO;5213103;Mineiros;69477;68154;Mineiros;66801;certo
SP;3529807;Mineiros do Tietê;13023;12966;Mineiros do Tietê;12908;certo
RO;1101203;Ministro Andreazza;9461;9559;Ministro Andreazza;9660;certo
SP;3530003;Mira Estrela;3125;3106;Mira Estrela;3086;certo
MG;3142007;Mirabela;13651;13620;Mirabela;13589;certo
SP;3529906;Miracatu;19511;19643;Miracatu;19779;certo
RJ;3303005;Miracema;27134;27154;Miracema;27174;certo
TO;1713205;Miracema do Tocantins;17628;17936;Miracema do Tocantins;18248;certo
MA;2106706;Mirador;21045;21031;Mirador;21015;certo
PR;4115903;Mirador;2180;2196;Mirador;2213;certo
MG;3142106;Miradouro;10818;10787;Miradouro;10754;certo
RS;4312302;Miraguaí;4899;4911;Miraguaí;4925;certo
MG;3142205;Miraí;15205;15111;Miraí;15014;certo
CE;2308377;Miraíma;13965;13894;Miraíma;13818;certo
MS;5005608;Miranda;28423;28220;Miranda;28013;certo
MA;2106755;Miranda do Norte;29121;28754;Miranda do Norte;28381;certo
PE;2609303;Mirandiba;15548;15470;Mirandiba;15390;certo
SP;3530102;Mirandópolis;29844;29706;Mirandópolis;29564;certo
BA;2921401;Mirangaba;18603;18474;Mirangaba;18338;certo
TO;1713304;Miranorte;13551;13493;Miranorte;13434;certo
BA;2921450;Mirante;8264;8447;Mirante;8641;certo
RO;1101302;Mirante da Serra;10691;10818;Mirante da Serra;10947;certo
SP;3530201;Mirante do Paranapanema;18415;18338;Mirante do Paranapanema;18259;certo
PR;4116000;Miraselva;1786;1796;Miraselva;1806;certo
SP;3530300;Mirassol;60768;60303;Mirassol;59824;certo
MT;5105622;Mirassol d'Oeste;28135;27941;Mirassol d'Oeste;27739;certo
SP;3530409;Mirassolândia;4966;4919;Mirassolândia;4871;certo
MG;3142254;Miravânia;4939;4914;Miravânia;4888;certo
SC;4210852;Mirim Doce;2257;2283;Mirim Doce;2309;certo
MA;2106805;Mirinzal;15059;15011;Mirinzal;14962;certo
PR;4116059;Missal;10706;10704;Missal;10702;certo
CE;2308401;Missão Velha;35566;35480;Missão Velha;36442;certo
PA;1504604;Mocajuba;31917;31530;Mocajuba;31136;certo
SP;3530508;Mococa;69072;68980;Mococa;68885;certo
SC;4210902;Modelo;4227;4218;Modelo;4209;certo
MG;3142304;Moeda;4948;4934;Moeda;4919;certo
MG;3142403;Moema;7589;7554;Moema;7517;certo
PB;2509404;Mogeiro;13238;13261;Mogeiro;13284;certo
SP;3530607;Mogi das Cruzes;455587;450785;Mogi das Cruzes;445842;certo
SP;3530706;Mogi Guaçu;154146;153033;Mogi Guaçu;151888;certo
SP;3530805;Mogi Mirim;94098;93650;Mogi Mirim;93189;certo
GO;5213400;Moiporá;1471;1501;Moiporá;1529;certo
SE;2804102;Moita Bonita;11361;11348;Moita Bonita;11335;certo
PA;1504703;Moju;84251;83182;Moju;82094;certo
PA;1504752;Mojuí dos Campos;16282;16184;Mojuí dos Campos;16084;certo
CE;2308500;Mombaça;43917;43858;Mombaça;43797;certo
SP;3530904;Mombuca;3523;3508;Mombuca;3493;certo
MA;2106904;Monção;33888;33664;Monção;33434;certo
SP;3531001;Monções;2274;2267;Monções;2259;certo
SC;4211009;Mondaí;12034;11889;Mondaí;11742;certo
SP;3531100;Mongaguá;58567;57648;Mongaguá;56702;certo
MG;3142502;Monjolos;2184;2202;Monjolos;2220;certo
PI;2206407;Monsenhor Gil;10563;10564;Monsenhor Gil;10564;certo
PI;2206506;Monsenhor Hipólito;7785;7767;Monsenhor Hipólito;7749;certo
MG;3142601;Monsenhor Paulo;8764;8727;Monsenhor Paulo;8688;certo
CE;2308609;Monsenhor Tabosa;17264;17249;Monsenhor Tabosa;17234;certo
PB;2509503;Montadas;5806;5738;Montadas;5669;certo
MG;3142700;Montalvânia;14621;14747;Montalvânia;14877;certo
ES;3203502;Montanha;18954;18894;Montanha;18833;certo
RN;2407708;Montanhas;11166;11208;Montanhas;11251;certo
RS;4312351;Montauri;1430;1441;Montauri;1453;certo
PA;1504802;Monte Alegre;58289;58162;Monte Alegre;58032;certo
RN;2407807;Monte Alegre;22698;22576;Monte Alegre;22451;certo
GO;5213509;Monte Alegre de Goiás;8759;8684;Monte Alegre de Goiás;8606;certo
MG;3142809;Monte Alegre de Minas;21349;21236;Monte Alegre de Minas;21120;certo
SE;2804201;Monte Alegre de Sergipe;15315;15175;Monte Alegre de Sergipe;15031;certo
PI;2206605;Monte Alegre do Piauí;10618;10615;Monte Alegre do Piauí;10613;certo
SP;3531209;Monte Alegre do Sul;8181;8111;Monte Alegre do Sul;8038;certo
RS;4312377;Monte Alegre dos Campos;3237;3232;Monte Alegre dos Campos;3226;certo
SP;3531308;Monte Alto;51039;50772;Monte Alto;50498;certo
SP;3531407;Monte Aprazível;25651;25373;Monte Aprazível;25087;certo
MG;3142908;Monte Azul;20544;20696;Monte Azul;20854;certo
SP;3531506;Monte Azul Paulista;18928;18968;Monte Azul Paulista;19008;certo
MG;3143005;Monte Belo;13139;13152;Monte Belo;13166;certo
RS;4312385;Monte Belo do Sul;2514;2530;Monte Belo do Sul;2548;certo
SC;4211058;Monte Carlo;9945;9906;Monte Carlo;9866;certo
MG;3143104;Monte Carmelo;48049;47931;Monte Carmelo;47809;certo
SP;3531605;Monte Castelo;4166;4166;Monte Castelo;4166;certo
SC;4211108;Monte Castelo;8263;8269;Monte Castelo;8275;certo
RN;2407906;Monte das Gameleiras;2063;2084;Monte das Gameleiras;2105;certo
TO;1713601;Monte do Carmo;8182;8066;Monte do Carmo;7947;certo
MG;3143153;Monte Formoso;4939;4923;Monte Formoso;4906;certo
PB;2509602;Monte Horebe;4867;4842;Monte Horebe;4816;certo
SP;3531803;Monte Mor;61707;60754;Monte Mor;59772;certo
RO;1101401;Monte Negro;16158;16007;Monte Negro;15852;certo
BA;2921500;Monte Santo;49145;49278;Monte Santo;49418;certo
MG;3143203;Monte Santo de Minas;21504;21513;Monte Santo de Minas;21524;certo
TO;1713700;Monte Santo do Tocantins;2311;2295;Monte Santo do Tocantins;2279;certo
MG;3143401;Monte Sião;24247;24029;Monte Sião;23803;certo
PB;2509701;Monteiro;33638;33433;Monteiro;33222;certo
SP;3531704;Monteiro Lobato;4739;4696;Monteiro Lobato;4653;certo
AL;2705408;Monteirópolis;7171;7165;Monteirópolis;7159;certo
RS;4312401;Montenegro;66157;65721;Montenegro;65264;certo
MA;2107001;Montes Altos;9064;9111;Montes Altos;9160;certo
MG;3143302;Montes Claros;417478;413487;Montes Claros;409341;certo
GO;5213707;Montes Claros de Goiás;8037;8047;Montes Claros de Goiás;8055;certo
MG;3143450;Montezuma;8379;8315;Montezuma;8249;certo
GO;5213756;Montividiu;13935;13672;Montividiu;13396;certo
GO;5213772;Montividiu do Norte;4538;4509;Montividiu do Norte;4479;certo
CE;2308708;Morada Nova;61590;61738;Morada Nova;61890;certo
MG;3143500;Morada Nova de Minas;8955;8910;Morada Nova de Minas;8863;certo
CE;2308807;Moraújo;8833;8779;Moraújo;8724;certo
PE;2614303;Moreilândia;11269;11270;Moreilândia;11270;certo
PR;4116109;Moreira Sales;11966;12042;Moreira Sales;12121;certo
PE;2609402;Moreno;63792;63294;Moreno;62784;certo
RS;4312427;Mormaço;3139;3113;Mormaço;3085;certo
BA;2921609;Morpará;8476;8497;Morpará;8519;certo
PR;4116208;Morretes;16485;16446;Morretes;16406;certo
CE;2308906;Morrinhos;22830;22685;Morrinhos;22534;certo
GO;5213806;Morrinhos;46955;46548;Morrinhos;46136;certo
RS;4312443;Morrinhos do Sul;2891;2919;Morrinhos do Sul;2949;certo
SP;3531902;Morro Agudo;33598;33288;Morro Agudo;32968;certo
GO;5213855;Morro Agudo de Goiás;2217;2232;Morro Agudo de Goiás;2248;certo
PI;2206654;Morro Cabeça no Tempo;4527;4530;Morro Cabeça no Tempo;4532;certo
SC;4211207;Morro da Fumaça;18095;17947;Morro da Fumaça;17796;certo
MG;3143609;Morro da Garça;2413;2437;Morro da Garça;2462;certo
BA;2921708;Morro do Chapéu;35466;35440;Morro do Chapéu;35413;certo
PI;2206670;Morro do Chapéu do Piauí;6825;6811;Morro do Chapéu do Piauí;6796;certo
MG;3143708;Morro do Pilar;3126;3153;Morro do Pilar;3182;certo
SC;4211256;Morro Grande;2884;2888;Morro Grande;2893;certo
RS;4312450;Morro Redondo;6609;6589;Morro Redondo;6568;certo
RS;4312476;Morro Reuter;6570;6513;Morro Reuter;6407;certo
MA;2107100;Morros;19708;19572;Morros;19433;certo
BA;2921807;Mortugaba;12063;12052;Mortugaba;12042;certo
SP;3532009;Morungaba;13936;13781;Morungaba;13622;certo
GO;5213905;Mossâmedes;4120;4206;Mossâmedes;4290;certo
RN;2408003;Mossoró;303792;300618;Mossoró;297378;certo
RS;4312500;Mostardas;12888;12847;Mostardas;12804;certo
SP;3532058;Motuca;4831;4795;Motuca;4758;certo
GO;5214002;Mozarlândia;16077;15870;Mozarlândia;15659;certo
PA;1504901;Muaná;41454;40906;Muaná;40349;certo
RR;1400308;Mucajaí;18482;18172;Mucajaí;17853;certo
CE;2309003;Mucambo;14561;14549;Mucambo;14537;certo
BA;2921906;Mucugê;8725;8889;Mucugê;9062;certo
RS;4312609;Muçum;4967;4961;Muçum;4954;certo
BA;2922003;Mucuri;42729;42251;Mucuri;41748;certo
ES;3203601;Mucurici;5468;5496;Mucurici;5524;certo
RS;4312617;Muitos Capões;3184;3173;Muitos Capões;3162;certo
RS;4312625;Muliterno;1901;1897;Muliterno;1893;certo
CE;2309102;Mulungu;11056;10941;Mulungu;10823;certo
PB;2509800;Mulungu;9962;9932;Mulungu;9902;certo
BA;2922052;Mulungu do Morro;10469;10673;Mulungu do Morro;10889;certo
BA;2922102;Mundo Novo;27153;26970;Mundo Novo;26776;certo
MS;5005681;Mundo Novo;18578;18473;Mundo Novo;18366;certo
GO;5214051;Mundo Novo;4540;4713;Mundo Novo;4887;certo
MG;3143807;Munhoz;5960;5994;Munhoz;6029;certo
PR;4116307;Munhoz de Melo;4034;4009;Munhoz de Melo;3984;certo
BA;2922201;Muniz Ferreira;7464;7443;Muniz Ferreira;7422;certo
ES;3203700;Muniz Freire;17176;17319;Muniz Freire;17465;certo
BA;2922250;Muquém do São Francisco;11479;11417;Muquém de São Francisco;11348;errado
ES;3203809;Muqui;15602;15526;Muqui;15449;certo
MG;3143906;Muriaé;109997;109392;Muriaé;108763;certo
SE;2804300;Muribeca;7653;7639;Muribeca;7625;certo
AL;2705507;Murici;28428;28333;Murici;28236;certo
PI;2206696;Murici dos Portelas;9258;9209;Murici dos Portelas;9159;certo
TO;1713957;Muricilândia;3623;3587;Muricilândia;3551;certo
BA;2922300;Muritiba;29420;29410;Muritiba;29399;certo
SP;3532108;Murutinga do Sul;4525;4506;Murutinga do Sul;4486;certo
BA;2922409;Mutuípe;22340;22282;Mutuípe;22221;certo
MG;3144003;Mutum;26945;26961;Mutum;26979;certo
GO;5214101;Mutunópolis;3749;3764;Mutunópolis;3778;certo
MG;3144102;Muzambinho;20522;20545;Muzambinho;20569;certo
MG;3144201;Nacip Raydan;3221;3220;Nacip Raydan;3220;certo
SP;3532157;Nantes;3215;3179;Nantes;3141;certo
MG;3144300;Nanuque;40583;40665;Nanuque;40750;certo
RS;4312658;Não-Me-Toque;17886;17758;Não-Me-Toque;17624;certo
MG;3144359;Naque;7104;7051;Naque;6996;certo
SP;3532207;Narandiba;4950;4904;Narandiba;4857;certo
RN;2408102;Natal;896708;890480;Natal;884122;certo
MG;3144375;Natalândia;3306;3308;Natalândia;3311;certo
MG;3144409;Natércia;4727;4728;Natércia;4730;certo
TO;1714203;Natividade;9256;9250;Natividade;9244;certo
RJ;3303104;Natividade;15305;15311;Natividade;15317;certo
SP;3532306;Natividade da Serra;6624;6642;Natividade da Serra;6661;certo
PB;2509909;Natuba;10449;10451;Natuba;10454;certo
SC;4211306;Navegantes;85734;83626;Navegantes;81475;certo
MS;5005707;Naviraí;56484;55689;Naviraí;54878;certo
TO;1714302;Nazaré;3772;3834;Nazaré;3898;certo
BA;2922508;Nazaré;28661;28594;Nazaré;28525;certo
PE;2609501;Nazaré da Mata;32673;32573;Nazaré da Mata;32471;certo
PI;2206704;Nazaré do Piauí;7307;7322;Nazaré do Piauí;7339;certo
SP;3532405;Nazaré Paulista;18866;18698;Nazaré Paulista;18524;certo
MG;3144508;Nazareno;8710;8660;Nazareno;8608;certo
PB;2510006;Nazarezinho;7271;7286;Nazarezinho;7301;certo
PI;2206720;Nazária;8632;8602;Nazária;8570;certo
GO;5214408;Nazário;9375;9260;Nazário;9142;certo
SE;2804409;Neópolis;18688;18703;Neópolis;18719;certo
MG;3144607;Nepomuceno;26882;26826;Nepomuceno;26769;certo
GO;5214507;Nerópolis;30931;30395;Nerópolis;29850;certo
SP;3532504;Neves Paulista;8917;8923;Neves Paulista;8930;certo
AM;1303007;Nhamundá;21710;21443;Nhamundá;21173;certo
SP;3532603;Nhandeara;11575;11527;Nhandeara;11478;certo
RS;4312674;Nicolau Vergueiro;1667;1674;Nicolau Vergueiro;1682;certo
BA;2922607;Nilo Peçanha;14156;14079;Nilo Peçanha;13997;certo
RJ;3303203;Nilópolis;162893;162693;Nilópolis;162485;certo
MA;2107209;Nina Rodrigues;14826;14642;Nina Rodrigues;14454;certo
MG;3144656;Ninheira;10355;10326;Ninheira;10295;certo
MS;5005806;Nioaque;13794;13862;Nioaque;13930;certo
SP;3532702;Nipoã;5381;5298;Nipoã;5213;certo
GO;5214606;Niquelândia;47064;46730;Niquelândia;46388;certo
RN;2408201;Nísia Floresta;28266;27938;Nísia Floresta;27602;certo
RJ;3303302;Niterói;516981;515317;Niterói;513584;certo
MT;5105903;Nobres;15332;15334;Nobres;15336;certo
RS;4312708;Nonoai;11574;11633;Nonoai;11695;certo
BA;2922656;Nordestina;13197;13164;Nordestina;13130;certo
RR;1400407;Normandia;11772;11532;Normandia;11290;certo
MT;5106000;Nortelândia;5858;5923;Nortelândia;5989;certo
SE;2804458;Nossa Senhora Aparecida;8822;8809;Nossa Senhora Aparecida;8796;certo
SE;2804508;Nossa Senhora da Glória;37715;37324;Nossa Senhora da Glória;36924;certo
SE;2804607;Nossa Senhora das Dores;26957;26795;Nossa Senhora das Dores;26629;certo
PR;4116406;Nossa Senhora das Graças;4009;4008;Nossa Senhora das Graças;4008;certo
SE;2804706;Nossa Senhora de Lourdes;6509;6496;Nossa Senhora de Lourdes;6483;certo
PI;2206753;Nossa Senhora de Nazaré;4911;4891;Nossa Senhora de Nazaré;4870;certo
MT;5106109;Nossa Senhora do Livramento;13093;13104;Nossa Senhora do Livramento;13216;certo
SE;2804805;Nossa Senhora do Socorro;187733;185706;Nossa Senhora do Socorro;183628;certo
PI;2206803;Nossa Senhora dos Remédios;8751;8723;Nossa Senhora dos Remédios;8692;certo
SP;3532801;Nova Aliança;7161;7068;Nova Aliança;6973;certo
PR;4116505;Nova Aliança do Ivaí;1560;1551;Nova Aliança do Ivaí;1543;certo
RS;4312757;Nova Alvorada;3698;3663;Nova Alvorada;3625;certo
MS;5006002;Nova Alvorada do Sul;22967;22430;Nova Alvorada do Sul;21882;certo
GO;5214705;Nova América;2362;2357;Nova América;2352;certo
PR;4116604;Nova América da Colina;3424;3434;Nova América da Colina;3445;certo
MS;5006200;Nova Andradina;56057;55224;Nova Andradina;54374;certo
RS;4312807;Nova Araçá;4890;4826;Nova Araçá;4759;certo
PR;4116703;Nova Aurora;10131;10299;Nova Aurora;10472;certo
GO;5214804;Nova Aurora;2236;2222;Nova Aurora;2210;certo
MT;5106158;Nova Bandeirantes;16052;15685;Nova Bandeirantes;15288;certo
RS;4312906;Nova Bassano;10089;10005;Nova Bassano;9916;certo
MG;3144672;Nova Belém;3067;3128;Nova Belém;3190;certo
RS;4312955;Nova Boa Vista;1731;1753;Nova Boa Vista;1775;certo
MT;5106208;Nova Brasilândia;3656;3805;Nova Brasilândia;3829;certo
RO;1100148;Nova Brasilândia D'Oeste;20504;20489;Nova Brasilândia D'Oeste;20474;certo
RS;4313003;Nova Bréscia;3345;3337;Nova Bréscia;3330;certo
SP;3532827;Nova Campina;9962;9860;Nova Campina;9755;certo
BA;2922706;Nova Canaã;16482;16472;Nova Canaã;16462;certo
MT;5106216;Nova Canaã do Norte;12876;12831;Nova Canaã do Norte;12787;certo
SP;3532843;Nova Canaã Paulista;1824;1852;Nova Canaã Paulista;1881;certo
RS;4313011;Nova Candelária;2677;2688;Nova Candelária;2698;certo
PR;4116802;Nova Cantu;4827;5061;Nova Cantu;5302;certo
SP;3532868;Nova Castilho;1290;1278;Nova Castilho;1267;certo
MA;2107258;Nova Colinas;5469;5427;Nova Colinas;5384;certo
GO;5214838;Nova Crixás;13020;12945;Nova Crixás;12869;certo
RN;2408300;Nova Cruz;37554;37450;Nova Cruz;37343;certo
MG;3144706;Nova Era;17524;17551;Nova Era;17578;certo
SC;4211405;Nova Erechim;5163;5092;Nova Erechim;5019;certo
PR;4116901;Nova Esperança;28062;27984;Nova Esperança;27904;certo
PA;1504950;Nova Esperança do Piriá;21519;21444;Nova Esperança do Piriá;21368;certo
PR;4116950;Nova Esperança do Sudoeste;5014;5030;Nova Esperança do Sudoeste;5046;certo
RS;4313037;Nova Esperança do Sul;5465;5410;Nova Esperança do Sul;5352;certo
SP;3532900;Nova Europa;11519;11355;Nova Europa;11186;certo
BA;2922730;Nova Fátima;7830;7821;Nova Fátima;7812;certo
PR;4117008;Nova Fátima;8120;8136;Nova Fátima;8153;certo
PB;2510105;Nova Floresta;10614;10626;Nova Floresta;10638;certo
RJ;3303401;Nova Friburgo;191664;191158;Nova Friburgo;190631;certo
GO;5214861;Nova Glória;8063;8112;Nova Glória;8164;certo
SP;3533007;Nova Granada;21871;21689;Nova Granada;21500;certo
MT;5108808;Nova Guarita;4407;4464;Nova Guarita;4519;certo
SP;3533106;Nova Guataporanga;2333;2325;Nova Guataporanga;2316;certo
RS;4313060;Nova Hartz;22147;21875;Nova Hartz;21615;certo
BA;2922755;Nova Ibiá;6518;6554;Nova Ibiá;6591;certo
RJ;3303500;Nova Iguaçu;825388;823302;Nova Iguaçu;821128;certo
GO;5214879;Nova Iguaçu de Goiás;2939;2934;Nova Iguaçu de Goiás;2929;certo
SP;3533205;Nova Independência;4135;4053;Nova Independência;3969;certo
MA;2107308;Nova Iorque;4682;4682;Nova Iorque;4683;certo
PA;1504976;Nova Ipixuna;17027;16854;Nova Ipixuna;16678;certo
SC;4211454;Nova Itaberaba;4327;4329;Nova Itaberaba;4331;certo
BA;2922805;Nova Itarana;8328;8279;Nova Itarana;8226;certo
MT;5106182;Nova Lacerda;6861;6751;Nova Lacerda;6640;certo
PR;4117057;Nova Laranjeiras;11462;11507;Nova Laranjeiras;11554;certo
MG;3144805;Nova Lima;97378;96157;Nova Lima;94889;certo
PR;4117107;Nova Londrina;13188;13200;Nova Londrina;13213;certo
SP;3533304;Nova Luzitânia;4217;4160;Nova Luzitânia;4101;certo
RO;1100338;Nova Mamoré;32184;31392;Nova Mamoré;30583;certo
MT;5108857;Nova Marilândia;3332;3304;Nova Marilândia;3278;certo
MT;5108907;Nova Maringá;9056;8850;Nova Maringá;8641;certo
MG;3144904;Nova Módica;3548;3573;Nova Módica;3600;certo
MT;5108956;Nova Monte Verde;9375;9277;Nova Monte Verde;9178;certo
MT;5106224;Nova Mutum;48222;46813;Nova Mutum;45378;certo
MT;5106174;Nova Nazaré;4013;3932;Nova Nazaré;3849;certo
SP;3533403;Nova Odessa;61716;60956;Nova Odessa;60174;certo
PR;4117206;Nova Olímpia;5846;5826;Nova Olímpia;5806;certo
MT;5106232;Nova Olímpia;20820;20563;Nova Olímpia;20301;certo
TO;1714880;Nova Olinda;12014;11917;Nova Olinda;11819;certo
CE;2309201;Nova Olinda;15798;15684;Nova Olinda;15565;certo
PB;2510204;Nova Olinda;5892;5920;Nova Olinda;5949;certo
MA;2107357;Nova Olinda do Maranhão;21228;21080;Nova Olinda do Maranhão;20928;certo
AM;1303106;Nova Olinda do Norte;38665;38026;Nova Olinda do Norte;37378;certo
RS;4313086;Nova Pádua;2563;2558;Nova Pádua;2553;certo
RS;4313102;Nova Palma;6519;6515;Nova Palma;6512;certo
PB;2510303;Nova Palmeira;5011;4959;Nova Palmeira;4906;certo
RS;4313201;Nova Petrópolis;21717;21536;Nova Petrópolis;21353;certo
MG;3145000;Nova Ponte;16046;15800;Nova Ponte;15545;certo
MG;3145059;Nova Porteirinha;7493;7497;Nova Porteirinha;7500;certo
RS;4313300;Nova Prata;28021;27648;Nova Prata;27257;certo
PR;4117255;Nova Prata do Iguaçu;10540;10544;Nova Prata do Iguaçu;10548;certo
RS;4313334;Nova Ramada;2195;2218;Nova Ramada;2242;certo
BA;2922854;Nova Redenção;9126;9123;Nova Redenção;9118;certo
MG;3145109;Nova Resende;16937;16832;Nova Resende;16723;certo
GO;5214903;Nova Roma;3208;3236;Nova Roma;3264;certo
RS;4313359;Nova Roma do Sul;3743;3717;Nova Roma do Sul;3689;certo
TO;1715002;Nova Rosalândia;4348;4304;Nova Rosalândia;4260;certo
CE;2309300;Nova Russas;32487;32408;Nova Russas;32328;certo
