uf;ibge;municipio;2021;2020;nome_teste;2019;teste
PR;4100509;Altônia;22293;22176;Altônia;22056;certo
PI;2200400;Altos;40681;40605;Altos;40524;certo
SP;3501152;Alumínio;18903;18767;Alumínio;18628;certo
AM;1300029;Alvarães;16396;16220;Alvarães;16041;certo
MG;3102209;Alvarenga;3783;3844;Alvarenga;3907;certo
SP;3501202;Álvares Florence;3616;3647;Álvares Florence;3679;certo
SP;3501301;Álvares Machado;25078;24998;Álvares Machado;24915;certo
SP;3501400;Álvaro de Carvalho;5320;5274;Álvaro de Carvalho;5227;certo
SP;3501509;Alvinlândia;3251;3237;Alvinlândia;3222;certo
MG;3102308;Alvinópolis;15135;15169;Alvinópolis;15203;certo
TO;1700707;Alvorada;8381;8396;Alvorada;8412;certo
RS;4300604;Alvorada;212352;211352;Alvorada;210305;certo
MG;3102407;Alvorada de Minas;3605;3605;Alvorada de Minas;3606;certo
PI;2200459;Alvorada do Gurguéia;5469;5445;Alvorada do Gurguéia;5419;certo
GO;5200803;Alvorada do Norte;8749;8705;Alvorada do Norte;8660;certo
PR;4100806;Alvorada do Sul;11598;11503;Alvorada do Sul;11406;certo
RO;1100346;Alvorada D'Oeste;13807;14106;Alvorada D'Oeste;14411;certo
RR;1400027;Amajari;13561;13185;Amajari;12796;certo
MS;5000609;Amambai;40247;39826;Amambai;39396;certo
AP;1600105;Amapá;9265;9187;Amapá;9109;certo
MA;2100550;Amapá do Maranhão;7047;7005;Amapá do Maranhão;6962;certo
PR;4100905;Amaporã;6405;6332;Amaporã;6257;certo
PE;2600906;Amaraji;22910;22870;Amaraji;22829;certo
RS;4300638;Amaral Ferrador;7136;7085;Amaral Ferrador;7031;certo
GO;5200829;Amaralina;3875;3845;Amaralina;3812;certo
PI;2200509;Amarante;17609;17604;Amarante;17598;certo
MA;2100600;Amarante do Maranhão;42017;41729;Amarante do Maranhão;41435;certo
BA;2901007;Amargosa;37631;37441;Amargosa;37241;certo
AM;1300060;Amaturá;11934;11736;Amaturá;11536;certo
BA;2901106;Amélia Rodrigues;24997;25048;Amélia Rodrigues;25102;certo
BA;2901155;América Dourada;16086;16090;América Dourada;16094;certo
SP;3501608;Americana;244370;242018;Americana;239597;certo
GO;5200852;Americano do Brasil;6220;6164;Americano do Brasil;6111;certo
SP;3501707;Américo Brasiliense;41545;41032;Américo Brasiliense;40504;certo
SP;3501806;Américo de Campos;5993;5981;Américo de Campos;5969;certo
RS;4300646;Ametista do Sul;7396;7403;Ametista do Sul;7409;certo
CE;2300754;Amontada;44195;43829;Amontada;43452;certo
GO;5200902;Amorinópolis;3011;3069;Amorinópolis;3126;certo
PB;2500734;Amparo;2264;2251;Amparo;2238;certo
SP;3501905;Amparo;73145;72677;Amparo;72195;certo
SE;2800100;Amparo do São Francisco;2386;2380;Amparo de São Francisco;2374;errado
MG;3102506;Amparo do Serra;4643;4678;Amparo do Serra;4713;certo
PR;4101002;Ampére;19466;19311;Ampére;19152;certo
AL;2700201;Anadia;17507;17526;Anadia;17545;certo
BA;2901205;Anagé;21229;21607;Anagé;17857;certo
PR;4101051;Anahy;2774;2788;Anahy;2801;certo
PA;1500701;Anajás;30091;29688;Anajás;29277;certo
MA;2100709;Anajatuba;27170;26988;Anajatuba;26803;certo
SP;3502002;Analândia;5115;5056;Analândia;4995;certo
AM;1300086;Anamã;14292;13956;Anamã;13614;certo
TO;1701002;Ananás;9435;9492;Ananás;9549;certo
PA;1500800;Ananindeua;540410;535547;Ananindeua;530598;certo
GO;5201108;Anápolis;396526;391772;Anápolis;386923;certo
PA;1500859;Anapu;29312;28607;Anapu;27890;certo
MA;2100808;Anapurus;16054;15894;Anapurus;15732;certo
MS;5000708;Anastácio;25336;25237;Anastácio;25135;certo
MS;5000807;Anaurilândia;9116;9076;Anaurilândia;9035;certo
ES;3200409;Anchieta;30285;29779;Anchieta;29263;certo
SC;4200804;Anchieta;5477;5557;Anchieta;5638;certo
BA;2901304;Andaraí;13122;13132;Andaraí;13143;certo
PR;4101101;Andirá;19823;19926;Andirá;20031;certo
BA;2901353;Andorinha;14416;14503;Andorinha;14595;certo
MG;3102605;Andradas;41704;41396;Andradas;41077;certo
SP;3502101;Andradina;57245;57202;Andradina;57157;certo
RS;4300661;André da Rocha;1351;1343;André da Rocha;1333;certo
MG;3102803;Andrelândia;12189;12206;Andrelândia;12224;certo
SP;3502200;Angatuba;25724;25479;Angatuba;25228;certo
MG;3102852;Angelândia;8594;8557;Angelândia;8520;certo
MS;5000856;Angélica;11081;10932;Angélica;10780;certo
PE;2601003;Angelim;11301;11226;Angelim;11150;certo
SC;4200903;Angelina;4686;4743;Angelina;4801;certo
BA;2901403;Angical;13902;13938;Angical;13977;certo
PI;2200608;Angical do Piauí;6779;6783;Angical do Piauí;6788;certo
TO;1701051;Angico;3475;3454;Angico;3433;certo
RN;2400802;Angicos;11695;11705;Angicos;11714;certo
RJ;3300100;Angra dos Reis;210171;207044;Angra dos Reis;203785;certo
BA;2901502;Anguera;11369;11297;Anguera;11221;certo
PR;4101150;Ângulo;2931;2930;Ângulo;2928;certo
GO;5201207;Anhanguera;1171;1160;Anhanguera;1149;certo
SP;3502309;Anhembi;6911;6819;Anhembi;6724;certo
SP;3502408;Anhumas;4172;4144;Anhumas;4115;certo
